Transparent|透明
Dragon Statue (Ruins)|竜像（廃墟）
Dragon Statue (Ruins)|竜像（廃墟）
Stone Pillar|石の柱
Stone Pillar (Ruins)|石の柱(廃墟)
Bookshelf|本棚
Bookshelf|本棚
Dragon Statue|竜像
Dragon Statue|竜像
Dragon Statue (Ruins)|竜像（廃墟）
Dragon Statue (Ruins)|竜像（廃墟）
Stone Pillar|石の柱
Stone Pillar (Ruins)|石の柱(廃墟)
Bookshelf|本棚
Bookshelf|本棚
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Angel Statue|天使像
Angel Statue|天使像
Angel Statue (Ruins)|天使像（廃墟）
Angel Statue (Ruins)|天使像（廃墟）
Bookshelf (Ruins)|本棚（廃墟）
Bookshelf (Ruins)|本棚（廃墟）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Angel Statue|天使像
Angel Statue|天使像
Angel Statue (Ruins)|天使像（廃墟）
Angel Statue (Ruins)|天使像（廃墟）
Bookshelf (Ruins)|本棚（廃墟）
Bookshelf (Ruins)|本棚（廃墟）
